unit_id,method_id,dataset_id,track,tier,replicate,prevalence,noise_condition,duplicate_fraction,n_cells,n_positive,n_background,n_missing_scores,is_degenerate,n_unique_scores,ap,auroc,f1_score,f1_top_k,precision_top_k,recall_top_k,balanced_accuracy_top_k,specificity_top_k,ap_chance,ap_above_chance,runtime_seconds,method_fidelity
hcc_wei_track_c_T2_rep05,CaSee,hcc_wei,C,T2,5,0.04,,,2000,80,1920,0,False,2000,0.03676649631534584,0.4689388020833334,0.0375,0.0375,0.0375,0.0375,0.49869791666666663,0.9598958333333333,0.04,-0.0032335036846541584,418.35954308509827,faithful
ov_izar_tirosh_track_e_asym_pos_T2_rep02,CaSee,ov_izar_tirosh,E,T2,2,0.0345,asym_pos,,2000,69,1931,0,True,1,0.0345,0.5,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.4971442295424013,0.9653029518384257,0.0345,0.0,178.61941742897034,faithful
bcc_yost_track_a_T1_rep01,CaSee,bcc_yost,A,T1,1,0.067,,,2000,134,1866,0,False,2000,0.8342406371473485,0.9855985346579003,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.8800211162835341,0.9839228295819936,0.067,0.7672406371473486,555.8631420135498,faithful
ov_izar_tirosh_track_e_asym_neg_T4_rep04,CaSee,ov_izar_tirosh,E,T4,4,0.3005,asym_neg,,2000,601,1399,0,True,1,0.3005,0.5,0.2762063227953411,0.2762063227953411,0.2762063227953411,0.2762063227953411,0.48263496983226667,0.6890636168691923,0.3005,0.0,173.33464431762695,faithful
rcc_multi_track_a_T3_rep03,CaSee,rcc_multi,A,T3,3,0.0045,,,2000,9,1991,0,False,2000,0.015804259291034087,0.8124337295608014,0.0,0.0,0.0,0.0,0.4977398292315419,0.0,0.0045,0.011304259291034086,440.3279905319214,faithful
bcc_yost_track_b_T4_rep01,CaSee,bcc_yost,B,T4,1,0.00058,,,50000,29,49971,0,False,50000,0.001178183067151544,0.7208415363669549,0.0,0.0,0.0,0.0,0.49970983170238736,0.0,0.00058,0.000598183067151544,274.9754683971405,faithful
mm_ledergor_track_d_U3_rep05,CaSee,mm_ledergor,D,U3,5,0.0010150996066489023,,,39405,40,39365,0,False,39405,0.0017218283275981692,0.7199822177060841,0.0,0.0,0.0,0.0,0.49949193445954526,0.0,0.0010150996066489023,0.0007067287209492669,54.46386003494263,faithful
ov_izar_tirosh_track_e_noise20_T1_rep01,CaSee,ov_izar_tirosh,E,T1,1,0.246,noise20,,2000,492,1508,0,True,1,0.246,0.5,0.241869918699187,0.241869918699187,0.241869918699187,0.241869918699187,0.4972612192965431,0.7526525198938993,0.246,0.0,171.70670437812805,faithful
hnscc_puram_track_a_T1_rep04,CaSee,hnscc_puram,A,T1,4,0.07125506072874493,,,1235,88,1147,0,False,1235,0.8401001976760513,0.9854363160814774,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8531742886581597,0.979075850043592,0.07125506072874493,0.7688451369473064,222.55347180366516,faithful
ov_izar_tirosh_track_b_T2_rep03,CaSee,ov_izar_tirosh,B,T2,3,0.013,,,5000,65,4935,0,False,5000,0.6336478750625822,0.9956542748032109,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.8051593796274648,0.9949341438703141,0.013,0.6206478750625822,91.14843106269836,faithful
crc_lee_track_e_asym_pos_T4_rep05,CaSee,crc_lee,E,T4,5,0.0005,asym_pos,,2000,1,1999,0,False,2000,0.006993006993006993,0.9289644822411206,0.0,0.0,0.0,0.0,0.49974987493746875,0.0,0.0005,0.006493006993006993,305.73482942581177,faithful
ov_izar_tirosh_track_e_noise10_T3_rep02,CaSee,ov_izar_tirosh,E,T3,2,0.107,noise10,,2000,214,1786,0,True,1,0.107,0.5,0.11682242990654207,0.11682242990654207,0.11682242990654206,0.11682242990654206,0.5054996807987358,0.8941769316909295,0.107,0.0,176.41082763671875,faithful
luad_laughney_track_e_noise10_T4_rep01,CaSee,luad_laughney,E,T4,1,0.101,noise10,,2000,202,1798,0,False,2000,0.10481559696943629,0.5070567957796892,0.08415841584158416,0.08415841584158416,0.08415841584158416,0.08415841584158416,0.49063315675282765,0.8971078976640712,0.101,0.0038155969694362857,364.38679909706116,faithful
bcc_yost_track_c_T3_rep02,CaSee,bcc_yost,C,T3,2,0.001,,,2000,2,1998,0,False,2000,0.0017737325568954712,0.5895895895895896,0.0,0.0,0.0,0.0,0.4994994994994995,0.0,0.001,0.0007737325568954712,384.2797713279724,faithful
crc_lee_track_b_T3_rep02,CaSee,crc_lee,B,T3,2,0.0028,,,5000,14,4986,0,False,5000,0.02203636281574987,0.928972551716234,0.0,0.0,0.0,0.0,0.49859606899318093,0.0,0.0028,0.01923636281574987,91.64802813529968,faithful
