method_id,dataset_id,mean_ap,median_ap,std_ap,mean_auroc,mean_f1_top_k,mean_runtime_s,n_units,n_fallback,category,breakdown_tier
FiRE,hnscc_puram,0.7769655919107878,0.8374987062364481,0.23534301388033066,0.9876824079701759,0.7016947220898675,94.43256416320801,20,0,ranked,T4
CaSee,hnscc_puram,0.6850639354174437,0.749126165138682,0.22602167886798713,0.9876535297486431,0.5654436570385409,208.9056257247925,20,0,exploratory,T3
cellsius,hnscc_puram,0.20038875310192078,0.1782789790854307,0.1865569642419143,0.9033241371810335,0.04185442481495113,34.58198308944702,20,0,ranked,none
RareQ,hnscc_puram,0.13566795384385233,0.13114872741204386,0.10816258402939982,0.8709172951564914,0.0017045454545454545,69.06336852312089,20,0,ranked,none
scCAD,hnscc_puram,0.07195094257504366,0.057314588606833035,0.07071192661124243,0.6967682870624482,0.0007246376811594203,79.42592667341232,20,0,ranked,none
DeepScena,hnscc_puram,0.029085165328178,0.020238027030646075,0.03142583166965646,0.47229026670774443,0.01926175936228241,51.094643318653105,20,0,ranked,none
random_baseline,hnscc_puram,0.0315510409771053,0.02006316568344769,0.03280929323166367,0.5190124695291101,0.026508389135473147,24.094048607349396,20,0,naive_baseline,none
scMalignantFinder,hnscc_puram,0.027795188850198733,0.014569172755300046,0.032064589050571086,0.5,0.03813188672865038,6.1145938515663145,20,0,ranked,none
hvg_logreg,luad_laughney,0.9982954545454545,1.0,0.007622959014203816,0.9999905873493976,0.99375,2.5425,20,0,supervised_ceiling,T4
CaSee,luad_laughney,0.5377557638015474,0.6429534643857564,0.208815140889726,0.9513745321150882,0.4766205790577204,351.61686236858367,20,0,exploratory,T3
scMalignantFinder,luad_laughney,0.5036168863448156,0.5827315402683546,0.2729622950973973,0.9406214536262949,0.47223017671556944,7.466007018089295,20,0,ranked,T3
RareQ,luad_laughney,0.2787178216953685,0.32543388390255445,0.24334080727037827,0.874425987502863,0.14837027710019662,88.55230553150177,20,0,ranked,T2
scCAD,luad_laughney,0.2584081262322594,0.26624160000426866,0.18892190743076065,0.8609323491931533,0.22113280464997018,103.44851126670838,20,0,ranked,none
expr_threshold,luad_laughney,0.18849325060901786,0.21176569438383305,0.13299853528420674,0.7965572902574878,0.19522688505323868,10.467819380760194,20,0,naive_baseline,none
cellsius,luad_laughney,0.2360407086793251,0.20942327485224022,0.24049360089532187,0.8028750031487866,0.1110714942357415,38.88563414812088,20,0,ranked,none
FiRE,luad_laughney,0.1113957578068088,0.0996903123979668,0.08772291702933213,0.8056695701000874,0.1407148171135913,103.30137301683426,20,0,ranked,none
random_baseline,luad_laughney,0.029595459458228567,0.021383097056555903,0.027407569350477338,0.4884338023056495,0.022531387849671007,7.813054704666138,20,0,naive_baseline,none
DeepScena,luad_laughney,0.027917103599830316,0.015077859812392328,0.027547289267894293,0.4602669741483677,0.030413713532230168,85.26258853673934,20,0,ranked,none
expr_threshold,ov_izar_tirosh,0.5716953195185405,0.6592119336479019,0.30378235093712525,0.9514401681097093,0.5257007283300807,20.42386574745178,20,0,naive_baseline,T2
FiRE,ov_izar_tirosh,0.55194760140153,0.5920782646602841,0.24824155274051438,0.9728905429915186,0.45273052743033926,45.656511914730075,20,0,ranked,T2
RareQ,ov_izar_tirosh,0.3339250107071535,0.43000580076992034,0.30405437187872714,0.8951502400083731,0.18097315575936365,48.794057238101956,20,0,ranked,T2
cellsius,ov_izar_tirosh,0.31873148229200743,0.33817867684177205,0.2917224140009447,0.8739163678921955,0.20146635429710277,43.36282128095627,20,0,ranked,T2
